X,Y
25.23,2
25.23,2
25.23,2
25.23,2
25.23,2
25.23,2
25.23,2
25.23,2
25.23,2
25.23,2
25.23,2
25.23,2
25.23,2
25.23,2
25.23,2
25.23,2
25.23,2
25.23,2
25.46,2
25.46,2
25.46,2
25.46,2
25.46,2
25.46,2
25.46,2
25.46,2
25.46,2
25.46,2
25.46,2
25.46,2
25.46,2
25.46,2
25.46,2
25.46,2
25.46,2
25.46,2
25.47,2
25.47,2
25.47,2
25.47,2
25.47,2
25.47,2
25.47,2
25.47,2
25.47,2
25.51,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.65,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
25.87,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.41,2
26.66,2
26.66,2
26.66,2
26.66,2
26.91,2
29.24,2
29.44,2
29.44,2
29.44,2
29.44,2
29.44,2
29.44,2
29.44,2
29.44,2
29.91,2
29.91,2
30.23,2
30.23,2
30.23,2
30.23,2
30.23,2
30.23,2
30.23,2
30.53,2
30.53,2
30.53,2
30.52,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.02,2
31.1,2
31.1,2
31.1,2
31.1,2
31.1,2
31.1,2
32.19,2
32.19,2
32.19,2
32.19,2
32.19,2
32.19,2
32.19,2
32.19,2
